cuerda,traste,f0_Hz,L_cm,f0_L_Hzcm,outlier
1,0,328.0,65.2,21385.600000000002,0
1,1,349.0,63.2,22056.8,0
1,2,349.0,59.7,20835.3,0
1,3,392.0,56.3,22069.6,0
1,4,414.0,53.2,22024.800000000003,0
1,5,439.0,50.2,22037.800000000003,0
1,6,466.0,46.7,21762.2,0
1,7,467.0,44.7,20874.9,0
1,8,525.0,42.2,22155.0,0
1,9,557.0,39.7,22112.9,0
1,10,591.0,37.4,22103.399999999998,0
1,11,628.0,35.4,22231.2,0
1,12,664.0,33.4,22177.6,0
1,13,705.0,31.4,22137.0,0
1,14,748.0,29.7,22215.6,0
1,15,793.0,28.1,22283.300000000003,0
1,16,838.0,26.4,22123.199999999997,0
1,17,891.0,24.9,22185.899999999998,0
1,18,941.0,23.5,22113.5,0
1,19,999.0,22.4,22377.6,0
2,0,247.0,65.2,16104.400000000001,0
2,1,264.0,63.2,16684.8,0
2,2,264.0,59.7,15760.800000000001,0
2,3,296.0,56.3,16664.8,0
2,4,314.0,53.2,16704.8,0
2,5,332.0,50.2,16666.4,0
2,6,352.0,46.7,16438.4,0
2,7,373.0,44.7,16673.100000000002,0
2,8,395.0,42.2,16669.0,0
2,9,420.0,39.7,16674.0,0
2,10,445.0,37.4,16643.0,0
2,11,474.0,35.4,16779.6,0
2,12,501.0,33.4,16733.399999999998,0
2,13,531.0,31.4,16673.399999999998,0
2,14,564.0,29.7,16750.8,0
2,15,598.0,28.1,16803.8,0
2,16,635.0,26.4,16764.0,0
2,17,672.0,24.9,16732.8,0
2,18,713.0,23.5,16755.5,0
2,19,751.0,22.4,16822.399999999998,0
3,0,196.0,65.2,12779.2,0
3,1,208.0,63.2,13145.6,0
3,2,208.0,59.7,12417.6,0
3,3,235.0,56.3,13230.5,0
3,4,249.0,53.2,13246.800000000001,0
3,5,263.0,50.2,13202.6,0
3,6,279.0,46.7,13029.300000000001,0
3,7,296.0,44.7,13231.2,0
3,8,314.0,42.2,13250.800000000001,0
3,9,332.0,39.7,13180.400000000001,0
3,10,352.0,37.4,13164.8,0
3,11,373.0,35.4,13204.199999999999,0
3,12,396.0,33.4,13226.4,0
3,13,210.0,31.4,6594.0,1
3,14,445.0,29.7,13216.5,0
3,15,472.0,28.1,13263.2,0
3,16,501.0,26.4,13226.4,0
3,17,531.0,24.9,13221.9,0
3,18,565.0,23.5,13277.5,0
3,19,596.0,22.4,13350.4,0
4,0,146.0,65.2,9519.2,0
4,1,155.0,63.2,9796.0,0
4,2,164.0,59.7,9790.800000000001,0
4,3,174.0,56.3,9796.199999999999,0
4,4,184.0,53.2,9788.800000000001,0
4,5,194.0,50.2,9738.800000000001,0
4,6,415.0,46.7,19380.5,1
4,7,218.0,44.7,9744.6,0
4,8,233.0,42.2,9832.6,0
4,9,247.0,39.7,9805.900000000001,0
4,10,262.0,37.4,9798.8,0
4,11,279.0,35.4,9876.6,0
4,12,294.0,33.4,9819.6,0
4,13,313.0,31.4,9828.199999999999,0
4,14,331.0,29.7,9830.699999999999,0
4,15,351.0,28.1,9863.1,0
4,16,371.0,26.4,9794.4,0
4,17,394.0,24.9,9810.599999999999,0
4,18,209.0,23.5,4911.5,1
4,19,444.0,22.4,9945.599999999999,0
5,0,109.0,65.2,7106.8,0
5,1,117.0,63.2,7394.400000000001,0
5,2,123.0,59.7,7343.1,0
5,3,130.0,56.3,7319.0,0
5,4,138.0,53.2,7341.6,0
5,5,146.0,50.2,7329.200000000001,0
5,6,155.0,46.7,7238.5,0
5,7,164.0,44.7,7330.8,0
5,8,174.0,42.2,7342.8,0
5,9,184.0,39.7,7304.8,0
5,10,197.0,37.4,7367.799999999999,0
5,11,207.0,35.4,7327.799999999999,0
5,12,222.0,33.4,7414.799999999999,0
5,13,235.0,31.4,7379.0,0
5,14,249.0,29.7,7395.3,0
5,15,262.0,28.1,7362.200000000001,0
5,16,279.0,26.4,7365.599999999999,0
5,17,292.0,24.9,7270.799999999999,0
5,18,313.0,23.5,7355.5,0
5,19,329.0,22.4,7369.599999999999,0
6,0,82.0,65.2,5346.400000000001,0
6,1,175.0,63.2,11060.0,1
6,2,185.0,59.7,11044.5,1
6,3,98.0,56.3,5517.4,0
6,4,104.0,53.2,5532.8,0
6,5,110.0,50.2,5522.0,0
6,6,117.0,46.7,5463.900000000001,0
6,7,124.0,44.7,5542.8,0
6,8,131.0,42.2,5528.200000000001,0
6,9,139.0,39.7,5518.3,0
6,10,147.0,37.4,5497.8,0
6,11,156.0,35.4,5522.4,0
6,12,165.0,33.4,5511.0,0
6,13,176.0,31.4,5526.4,0
6,14,186.0,29.7,5524.2,0
6,15,197.0,28.1,5535.700000000001,0
6,16,419.0,26.4,11061.599999999999,1
6,17,222.0,24.9,5527.799999999999,0
6,18,470.0,23.5,11045.0,1
6,19,247.0,22.4,5532.799999999999,0
